identity_id,identity_dir,num_images_found,num_images_success,num_images_failed,num_templates_added,status,reason
102085,D:\Liang\Pcode\Face Recognition System\identities\102085,,,,15,skipped,already_exists_in_gallery
102088,D:\Liang\Pcode\Face Recognition System\identities\102088,,,,15,skipped,already_exists_in_gallery
102089,D:\Liang\Pcode\Face Recognition System\identities\102089,,,,15,skipped,already_exists_in_gallery
102090,D:\Liang\Pcode\Face Recognition System\identities\102090,,,,15,skipped,already_exists_in_gallery
103013,D:\Liang\Pcode\Face Recognition System\identities\103013,,,,15,skipped,already_exists_in_gallery
103023,D:\Liang\Pcode\Face Recognition System\identities\103023,,,,15,skipped,already_exists_in_gallery
103027,D:\Liang\Pcode\Face Recognition System\identities\103027,,,,15,skipped,already_exists_in_gallery
103033,D:\Liang\Pcode\Face Recognition System\identities\103033,,,,15,skipped,already_exists_in_gallery
103055,D:\Liang\Pcode\Face Recognition System\identities\103055,,,,15,skipped,already_exists_in_gallery
103056,D:\Liang\Pcode\Face Recognition System\identities\103056,,,,15,skipped,already_exists_in_gallery
103057,D:\Liang\Pcode\Face Recognition System\identities\103057,,,,15,skipped,already_exists_in_gallery
103059,D:\Liang\Pcode\Face Recognition System\identities\103059,,,,15,skipped,already_exists_in_gallery
103060,D:\Liang\Pcode\Face Recognition System\identities\103060,,,,15,skipped,already_exists_in_gallery
103061,D:\Liang\Pcode\Face Recognition System\identities\103061,,,,15,skipped,already_exists_in_gallery
103062,D:\Liang\Pcode\Face Recognition System\identities\103062,,,,15,skipped,already_exists_in_gallery
103063,D:\Liang\Pcode\Face Recognition System\identities\103063,,,,15,skipped,already_exists_in_gallery
103064,D:\Liang\Pcode\Face Recognition System\identities\103064,,,,15,skipped,already_exists_in_gallery
103065,D:\Liang\Pcode\Face Recognition System\identities\103065,,,,15,skipped,already_exists_in_gallery
103066,D:\Liang\Pcode\Face Recognition System\identities\103066,,,,15,skipped,already_exists_in_gallery
103067,D:\Liang\Pcode\Face Recognition System\identities\103067,,,,15,skipped,already_exists_in_gallery
103068,D:\Liang\Pcode\Face Recognition System\identities\103068,,,,15,skipped,already_exists_in_gallery
103069,D:\Liang\Pcode\Face Recognition System\identities\103069,,,,15,skipped,already_exists_in_gallery
103072,D:\Liang\Pcode\Face Recognition System\identities\103072,,,,15,skipped,already_exists_in_gallery
103073,D:\Liang\Pcode\Face Recognition System\identities\103073,,,,15,skipped,already_exists_in_gallery
103075,D:\Liang\Pcode\Face Recognition System\identities\103075,,,,15,skipped,already_exists_in_gallery
103076,D:\Liang\Pcode\Face Recognition System\identities\103076,,,,15,skipped,already_exists_in_gallery
103077,D:\Liang\Pcode\Face Recognition System\identities\103077,,,,15,skipped,already_exists_in_gallery
103078,D:\Liang\Pcode\Face Recognition System\identities\103078,,,,15,skipped,already_exists_in_gallery
103079,D:\Liang\Pcode\Face Recognition System\identities\103079,,,,15,skipped,already_exists_in_gallery
103080,D:\Liang\Pcode\Face Recognition System\identities\103080,,,,15,skipped,already_exists_in_gallery
103081,D:\Liang\Pcode\Face Recognition System\identities\103081,,,,15,skipped,already_exists_in_gallery
103082,D:\Liang\Pcode\Face Recognition System\identities\103082,,,,15,skipped,already_exists_in_gallery
103083,D:\Liang\Pcode\Face Recognition System\identities\103083,,,,15,skipped,already_exists_in_gallery
103084,D:\Liang\Pcode\Face Recognition System\identities\103084,,,,15,skipped,already_exists_in_gallery
103085,D:\Liang\Pcode\Face Recognition System\identities\103085,,,,15,skipped,already_exists_in_gallery
103086,D:\Liang\Pcode\Face Recognition System\identities\103086,,,,15,skipped,already_exists_in_gallery
103087,D:\Liang\Pcode\Face Recognition System\identities\103087,,,,15,skipped,already_exists_in_gallery
103088,D:\Liang\Pcode\Face Recognition System\identities\103088,,,,15,skipped,already_exists_in_gallery
103089,D:\Liang\Pcode\Face Recognition System\identities\103089,,,,15,skipped,already_exists_in_gallery
103090,D:\Liang\Pcode\Face Recognition System\identities\103090,,,,15,skipped,already_exists_in_gallery
103091,D:\Liang\Pcode\Face Recognition System\identities\103091,,,,15,skipped,already_exists_in_gallery
103092,D:\Liang\Pcode\Face Recognition System\identities\103092,,,,15,skipped,already_exists_in_gallery
103093,D:\Liang\Pcode\Face Recognition System\identities\103093,,,,15,skipped,already_exists_in_gallery
103094,D:\Liang\Pcode\Face Recognition System\identities\103094,,,,15,skipped,already_exists_in_gallery
103095,D:\Liang\Pcode\Face Recognition System\identities\103095,,,,15,skipped,already_exists_in_gallery
103096,D:\Liang\Pcode\Face Recognition System\identities\103096,,,,15,skipped,already_exists_in_gallery
103097,D:\Liang\Pcode\Face Recognition System\identities\103097,,,,15,skipped,already_exists_in_gallery
103098,D:\Liang\Pcode\Face Recognition System\identities\103098,,,,15,skipped,already_exists_in_gallery
103099,D:\Liang\Pcode\Face Recognition System\identities\103099,,,,15,skipped,already_exists_in_gallery
103100,D:\Liang\Pcode\Face Recognition System\identities\103100,,,,15,skipped,already_exists_in_gallery
103101,D:\Liang\Pcode\Face Recognition System\identities\103101,,,,15,skipped,already_exists_in_gallery
103102,D:\Liang\Pcode\Face Recognition System\identities\103102,,,,15,skipped,already_exists_in_gallery
104002,D:\Liang\Pcode\Face Recognition System\identities\104002,,,,15,skipped,already_exists_in_gallery
104003,D:\Liang\Pcode\Face Recognition System\identities\104003,,,,15,skipped,already_exists_in_gallery
104012,D:\Liang\Pcode\Face Recognition System\identities\104012,,,,15,skipped,already_exists_in_gallery
104023,D:\Liang\Pcode\Face Recognition System\identities\104023,,,,15,skipped,already_exists_in_gallery
104024,D:\Liang\Pcode\Face Recognition System\identities\104024,,,,15,skipped,already_exists_in_gallery
104030,D:\Liang\Pcode\Face Recognition System\identities\104030,,,,15,skipped,already_exists_in_gallery
104032,D:\Liang\Pcode\Face Recognition System\identities\104032,,,,15,skipped,already_exists_in_gallery
104033,D:\Liang\Pcode\Face Recognition System\identities\104033,,,,15,skipped,already_exists_in_gallery
104034,D:\Liang\Pcode\Face Recognition System\identities\104034,,,,15,skipped,already_exists_in_gallery
104036,D:\Liang\Pcode\Face Recognition System\identities\104036,,,,15,skipped,already_exists_in_gallery
104037,D:\Liang\Pcode\Face Recognition System\identities\104037,,,,15,skipped,already_exists_in_gallery
104042,D:\Liang\Pcode\Face Recognition System\identities\104042,,,,15,skipped,already_exists_in_gallery
104043,D:\Liang\Pcode\Face Recognition System\identities\104043,,,,15,skipped,already_exists_in_gallery
104044,D:\Liang\Pcode\Face Recognition System\identities\104044,,,,15,skipped,already_exists_in_gallery
104046,D:\Liang\Pcode\Face Recognition System\identities\104046,,,,15,skipped,already_exists_in_gallery
104049,D:\Liang\Pcode\Face Recognition System\identities\104049,,,,15,skipped,already_exists_in_gallery
104050,D:\Liang\Pcode\Face Recognition System\identities\104050,,,,15,skipped,already_exists_in_gallery
104051,D:\Liang\Pcode\Face Recognition System\identities\104051,,,,15,skipped,already_exists_in_gallery
104052,D:\Liang\Pcode\Face Recognition System\identities\104052,,,,15,skipped,already_exists_in_gallery
104053,D:\Liang\Pcode\Face Recognition System\identities\104053,,,,15,skipped,already_exists_in_gallery
104054,D:\Liang\Pcode\Face Recognition System\identities\104054,,,,15,skipped,already_exists_in_gallery
104055,D:\Liang\Pcode\Face Recognition System\identities\104055,,,,15,skipped,already_exists_in_gallery
104056,D:\Liang\Pcode\Face Recognition System\identities\104056,,,,15,skipped,already_exists_in_gallery
104057,D:\Liang\Pcode\Face Recognition System\identities\104057,,,,15,skipped,already_exists_in_gallery
104058,D:\Liang\Pcode\Face Recognition System\identities\104058,,,,15,skipped,already_exists_in_gallery
104059,D:\Liang\Pcode\Face Recognition System\identities\104059,,,,15,skipped,already_exists_in_gallery
104061,D:\Liang\Pcode\Face Recognition System\identities\104061,,,,15,skipped,already_exists_in_gallery
104062,D:\Liang\Pcode\Face Recognition System\identities\104062,,,,15,skipped,already_exists_in_gallery
104063,D:\Liang\Pcode\Face Recognition System\identities\104063,,,,15,skipped,already_exists_in_gallery
104064,D:\Liang\Pcode\Face Recognition System\identities\104064,,,,15,skipped,already_exists_in_gallery
104065,D:\Liang\Pcode\Face Recognition System\identities\104065,,,,15,skipped,already_exists_in_gallery
104066,D:\Liang\Pcode\Face Recognition System\identities\104066,,,,15,skipped,already_exists_in_gallery
104068,D:\Liang\Pcode\Face Recognition System\identities\104068,,,,15,skipped,already_exists_in_gallery
104069,D:\Liang\Pcode\Face Recognition System\identities\104069,,,,15,skipped,already_exists_in_gallery
104070,D:\Liang\Pcode\Face Recognition System\identities\104070,,,,15,skipped,already_exists_in_gallery
104071,D:\Liang\Pcode\Face Recognition System\identities\104071,,,,15,skipped,already_exists_in_gallery
104072,D:\Liang\Pcode\Face Recognition System\identities\104072,,,,15,skipped,already_exists_in_gallery
104074,D:\Liang\Pcode\Face Recognition System\identities\104074,,,,15,skipped,already_exists_in_gallery
104076,D:\Liang\Pcode\Face Recognition System\identities\104076,,,,15,skipped,already_exists_in_gallery
104077,D:\Liang\Pcode\Face Recognition System\identities\104077,,,,15,skipped,already_exists_in_gallery
104078,D:\Liang\Pcode\Face Recognition System\identities\104078,,,,15,skipped,already_exists_in_gallery
104079,D:\Liang\Pcode\Face Recognition System\identities\104079,,,,15,skipped,already_exists_in_gallery
104080,D:\Liang\Pcode\Face Recognition System\identities\104080,,,,15,skipped,already_exists_in_gallery
104081,D:\Liang\Pcode\Face Recognition System\identities\104081,,,,15,skipped,already_exists_in_gallery
104082,D:\Liang\Pcode\Face Recognition System\identities\104082,,,,15,skipped,already_exists_in_gallery
104083,D:\Liang\Pcode\Face Recognition System\identities\104083,,,,15,skipped,already_exists_in_gallery
104084,D:\Liang\Pcode\Face Recognition System\identities\104084,,,,15,skipped,already_exists_in_gallery
104085,D:\Liang\Pcode\Face Recognition System\identities\104085,,,,15,skipped,already_exists_in_gallery
104086,D:\Liang\Pcode\Face Recognition System\identities\104086,,,,15,skipped,already_exists_in_gallery
104087,D:\Liang\Pcode\Face Recognition System\identities\104087,,,,15,skipped,already_exists_in_gallery
104088,D:\Liang\Pcode\Face Recognition System\identities\104088,,,,15,skipped,already_exists_in_gallery
104089,D:\Liang\Pcode\Face Recognition System\identities\104089,,,,15,skipped,already_exists_in_gallery
104090,D:\Liang\Pcode\Face Recognition System\identities\104090,,,,15,skipped,already_exists_in_gallery
104091,D:\Liang\Pcode\Face Recognition System\identities\104091,,,,15,skipped,already_exists_in_gallery
104092,D:\Liang\Pcode\Face Recognition System\identities\104092,,,,15,skipped,already_exists_in_gallery
104093,D:\Liang\Pcode\Face Recognition System\identities\104093,,,,15,skipped,already_exists_in_gallery
104094,D:\Liang\Pcode\Face Recognition System\identities\104094,,,,15,skipped,already_exists_in_gallery
104095,D:\Liang\Pcode\Face Recognition System\identities\104095,,,,15,skipped,already_exists_in_gallery
104096,D:\Liang\Pcode\Face Recognition System\identities\104096,,,,15,skipped,already_exists_in_gallery
104098,D:\Liang\Pcode\Face Recognition System\identities\104098,,,,15,skipped,already_exists_in_gallery
104099,D:\Liang\Pcode\Face Recognition System\identities\104099,,,,15,skipped,already_exists_in_gallery
